alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.23,0.6,0.75,0.5,0.05,1.5,1.0,63.733333333333334,29.2,5.8108837641530044,0.06097046413502109,0.04802925773460746,0.13398885372485175,0.13104873919004417,-0.033869324937396854,-0.049144430598155875
0.76,6,0.23,0.6,0.75,0.9,0.05,1.0,1.0,65.6,30.266666666666666,5.922219134156802,0.06223628691983123,0.044025011189838544,0.14838757927764598,0.14788456281798432,-0.0174277110415143,-0.05355896623470402
0.76,6,0.23,0.6,0.75,0.9,0.05,1.0,0.0,64.93333333333334,29.933333333333334,5.891053115222699,0.06054852320675107,0.046801393603084426,0.13937184112531975,0.13845079976837835,-0.024429892951958427,-0.06695824673234077
0.76,6,0.23,0.6,0.75,0.7,0.05,1.0,0.0,64.33333333333333,29.466666666666665,5.836277573323435,0.05970464135021099,0.06705045782108071,0.13454232117311513,0.1326683257353636,-0.03055164112922156,-0.07247775035801915
0.76,6,0.23,0.6,0.5,0.7,0.0,1.5,0.0,67.73333333333333,31.533333333333335,6.086855241362092,0.06244725738396624,0.03921428243039219,0.15874383796922953,0.153887581520095,-0.007274819627068131,-0.10237173094699717
0.76,6,0.23,0.6,0.5,0.5,0.0,1.5,0.5,67.0,31.4,6.030469964603394,0.06434599156118143,0.03742202116873035,0.14974982818711,0.14819878240103213,-0.013786048895836808,-0.1085618894805466
0.76,6,0.23,0.6,0.5,0.7,0.0,1.5,0.5,68.0,32.0,6.106511389229057,0.06392405063291139,0.04389527768537982,0.16075262097488258,0.1588101249976711,-0.005998932305050634,-0.12089314637154291
0.76,6,0.23,0.6,0.5,0.5,0.0,1.0,0.0,65.6,30.733333333333334,5.939068840148993,0.059493670886075954,0.06262449285621925,0.1425130832575498,0.13979944408845782,-0.023691721089679776,-0.12768098940520686
0.76,6,0.23,0.6,0.5,0.5,0.0,1.0,0.5,65.33333333333333,30.6,5.925133049522859,0.06012658227848102,0.06306309036567424,0.1383526985888726,0.13565741587747154,-0.02838402033632277,-0.13304911514949078
0.76,6,0.23,0.6,0.5,0.5,0.0,1.5,0.0,67.66666666666667,31.933333333333334,6.076306007700822,0.06413502109704641,0.03529294318856745,0.15226132521491728,0.14797804536260267,-0.013787108084603282,-0.14262633559578863
0.76,6,0.23,0.6,0.5,0.7,0.0,1.0,0.5,66.8,31.466666666666665,6.037169307451395,0.0609704641350211,0.04256381386990648,0.146396186799865,0.14319687980427168,-0.021222709097255557,-0.14844669137468108
0.76,6,0.23,0.6,0.5,0.9,0.0,1.0,0.0,66.8,31.466666666666665,6.031109840224257,0.0628691983122363,0.045055884771298946,0.1437318867991573,0.1407087707585584,-0.021512930026355435,-0.14855833681064068
0.76,6,0.23,0.6,0.75,0.7,0.0,1.5,0.0,69.93333333333334,32.8,6.188776056916652,0.06413502109704641,0.03725952134388632,0.16428071077327724,0.16261142991782837,0.0006583022857624651,-0.14882599097601582
0.76,6,0.23,0.6,0.5,0.9,0.0,1.0,1.0,67.8,31.933333333333334,6.105969896529922,0.06392405063291139,0.045274318903098486,0.15146994925422158,0.1472672088037584,-0.016679637631237816,-0.15609938634844783
0.76,6,0.23,0.6,0.5,0.9,0.0,1.5,0.0,69.0,32.53333333333333,6.174857752928258,0.06413502109704641,0.046802607510623026,0.16156279666232942,0.15706095881362345,-0.004644255474527815,-0.15629478606506705
